runtime,lambda,avg_ms,p99_ms,goodput_slo_avg,goodput_slo_p99,diverged
plain,1595.0,39.39,84.37,801.7,1549.6,False
naive,1595.0,18.96,35.64,1596.6,1599.1,False
proposed,1595.0,21.68,46.95,1521.5,1599.5,False
plain,1645.0,135.5,314.7,331.2,549.6,True
naive,1645.0,35.45,66.64,1010.7,1641.8,False
proposed,1645.0,23.92,49.61,1523.4,1649.4,False
plain,1705.0,307.56,655.21,58.2,236.3,True
naive,1705.0,180.51,367.45,76.0,387.0,True
proposed,1705.0,47.84,93.56,638.4,1599.5,False
